year,State,District,PVI,,
2020,New York,2,R+5,,
2020,New York,3,D+3,,
2020,New York,4,D+4,,
2020,New York,5,D+34,,
2020,New York,6,D+13,,
2020,New York,7,D+34,,
2020,New York,8,D+33,,
2020,New York,9,D+32,,
2020,North Carolina,10,R+21,,
2020,North Carolina,11,R+9,,
2020,North Carolina,12,D+19,,
2020,North Carolina,13,R+20,,
2020,North Carolina,1,D+3,,
2020,North Carolina,2,D+12,,
2020,North Carolina,3,R+14,,
2020,North Carolina,4,D+16,,
2020,North Carolina,5,R+20,,
2020,North Carolina,6,D+10,,
2020,North Carolina,7,R+11,,
2020,North Carolina,8,R+6,,
2020,North Carolina,9,R+6,,
2020,North Dakota,0,R+20,,
2020,Ohio,10,R+5,,
2020,Ohio,11,D+30,,
2020,Ohio,12,R+6,,
2020,Ohio,13,D+1,,
2020,Ohio,14,R+7,,
2020,Ohio,15,R+9,,
2020,Ohio,16,R+10,,
2020,Ohio,1,R+4,,
2020,Ohio,2,R+9,,
2020,Ohio,3,D+19,,
2020,Ohio,4,R+20,,
2020,Ohio,5,R+15,,
2020,Ohio,6,R+24,,
2020,Ohio,7,R+18,,
2020,Ohio,8,R+19,,
2020,Ohio,9,D+9,,
2020,Oklahoma,1,R+15,,
2020,Oklahoma,2,R+29,,
2020,Oklahoma,3,R+29,,
2020,Oklahoma,4,R+20,,
2020,Oklahoma,5,R+7,,
2020,Oregon,1,D+12,,
2020,Oregon,2,R+11,,
2020,Oregon,3,D+24,,
2020,Oregon,4,R+1,,
2020,Oregon,5,D+2,,
2020,Pennsylvania,10,R+5,,
2020,Pennsylvania,11,R+14,,
2020,Pennsylvania,12,R+20,,
2020,Pennsylvania,13,R+25,,
2020,Pennsylvania,14,R+16,,
2020,Pennsylvania,15,R+24,,
2020,Pennsylvania,16,R+12,,
2020,Pennsylvania,17,R+2,,
2020,Pennsylvania,18,D+13,,
2020,Pennsylvania,1,0,,
2020,Pennsylvania,2,D+21,,
2020,Pennsylvania,3,D+41,,
2020,Pennsylvania,4,D+9,,
2020,Pennsylvania,5,D+13,,
2020,Pennsylvania,6,D+5,,
2020,Pennsylvania,7,0,,
2020,Pennsylvania,8,R+5,,
2020,Pennsylvania,9,R+18,,
2020,Rhode Island,1,D+12,,
2020,Rhode Island,2,D+4,,
2020,South Carolina,1,R+7,,
2020,South Carolina,2,R+9,,
2020,South Carolina,3,R+21,,
2020,South Carolina,4,R+14,,
2020,South Carolina,5,R+11,,
2020,South Carolina,6,D+17,,
2020,South Carolina,7,R+11,,
2020,South Dakota,0,R+16,,
2020,Tennessee,1,R+30,,
2020,Tennessee,2,R+18,,
2020,Tennessee,3,R+19,,
2020,Tennessee,4,R+22,,
2020,Tennessee,5,D+9,,
2020,Tennessee,6,R+26,,
2020,Tennessee,7,R+21,,
2020,Tennessee,8,R+19,,
2020,Tennessee,9,D+28,,
2020,Texas,10,R+5,,
2020,Texas,11,R+32,,
2020,Texas,12,R+15,,
2020,Texas,13,R+33,,
2020,Texas,14,R+12,,
2020,Texas,15,D+3,,
2020,Texas,16,D+18,,
2020,Texas,17,R+9,,
2020,Texas,18,D+26,,
2020,Texas,19,R+26,,
2020,Texas,1,R+25,,
2020,Texas,20,D+13,,
2020,Texas,21,R+8,,
2020,Texas,22,R+4,,
2020,Texas,23,R+1,,
2020,Texas,24,R+2,,
2020,Texas,25,R+8,,
2020,Texas,26,R+12,,
2020,Texas,27,R+14,,
2020,Texas,28,D+5,,
2020,Texas,29,D+19,,
2020,Texas,2,R+4,,
2020,Texas,30,D+29,,
2020,Texas,31,R+6,,
2020,Texas,32,D+1,,
2020,Texas,33,D+23,,
2020,Texas,34,D+5,,
2020,Texas,35,D+17,,
2020,Texas,36,R+25,,
2020,Texas,3,R+6,,
2020,Texas,4,R+28,,
2020,Texas,5,R+15,,
2020,Texas,6,R+6,,
2020,Texas,7,D+1,,
2020,Texas,8,R+25,,
2020,Texas,9,D+27,,
2020,Utah,1,R+20,,
2020,Utah,2,R+10,,
2020,Utah,3,R+17,,
2020,Utah,4,R+6,,
2020,Vermont,0,D+15,,
2020,Virginia,10,D+6,,
2020,Virginia,11,D+19,,
2020,Virginia,1,R+6,,
2020,Virginia,2,R+1,,
2020,Virginia,3,D+16,,
2020,Virginia,4,D+10,,
2020,Virginia,5,R+7,,
2020,Virginia,6,R+14,,
2020,Virginia,7,R+3,,
2020,Virginia,8,D+27,,
2020,Virginia,9,R+23,,
2020,Washington,10,D+5,,
2020,Washington,1,D+8,,
2020,Washington,2,D+11,,
2020,Washington,3,R+5,,
2020,Washington,4,R+13,,
2020,Washington,5,R+8,,
2020,Washington,6,D+6,,
2020,Washington,7,D+36,,
2020,Washington,8,D+1,,
2020,Washington,9,D+23,,
2020,West Virginia,1,R+22,,
2020,West Virginia,2,R+20,,
2020,West Virginia,3,R+27,,
2020,Wisconsin,1,R+7,,
2020,Wisconsin,2,D+18,,
2020,Wisconsin,3,R+4,,
2020,Wisconsin,4,D+25,,
2020,Wisconsin,5,R+11,,
2020,Wisconsin,6,R+10,,
2020,Wisconsin,7,R+12,,
2020,Wisconsin,8,R+10,,
2020,Wyoming,0,R+26,,
